: زمان افعال
برمی‌دارد برداشت می‌پوشد پوشید
برمی‌دارد برداشت می‌پیچد پیچید
برمی‌دارد برداشت می‌زند زد
برمی‌دارد برداشت می‌نشیند نشست
برمی‌دارد برداشت می‌پرورد پرورید
برمی‌دارد برداشت می‌نوشد نوشید
برمی‌دارد برداشت می‌تواند توانست
برمی‌دارد برداشت می‌پرد پرید
برمی‌دارد برداشت می‌خزد خزید
برمی‌دارد برداشت می‌بارد بارید
برمی‌دارد برداشت می‌لرزد لرزید
برمی‌دارد برداشت می‌وزد وزید
برمی‌دارد برداشت می‌ریزد ریخت
برمی‌دارد برداشت می‌گیرد گرفت
می‌گیرد گرفت ﻿می‌رود رفت
می‌گیرد گرفت می‌خورد خورد
می‌گیرد گرفت می‌گوید گفت
می‌گیرد گرفت می‌خندد خندید
می‌گیرد گرفت می‌نویسد نوشت
می‌گیرد گرفت می‌بیند دید
می‌گیرد گرفت می‌جنگد جنگید
می‌گیرد گرفت می‌سازد ساخت
می‌گیرد گرفت می‌پردازد پرداخت
می‌گیرد گرفت می‌جوید جست
می‌گیرد گرفت می‌پزد پخت
می‌گیرد گرفت می‌شوید شست
می‌گیرد گرفت می‌کند کرد
می‌گیرد گرفت می‌خواند خواند
می‌گیرد گرفت می‌خرد خرید
می‌گیرد گرفت می‌گذارد گذاشت
می‌گیرد گرفت می‌گرید گریست
می‌گیرد گرفت می‌خوابد خوابید
می‌گیرد گرفت می‌سوزد سوخت
می‌گیرد گرفت می‌شکند شکست
می‌گیرد گرفت می‌برد برد
می‌گیرد گرفت می‌گذرد گذشت
می‌گیرد گرفت می‌شنود شنید
می‌گیرد گرفت می‌دوزد دوخت
می‌گیرد گرفت می‌کارد کاشت
می‌گیرد گرفت می‌خواهد خواست
می‌گیرد گرفت می‌آفریند آفرید
می‌گیرد گرفت می‌آورد آورد
می‌گیرد گرفت می‌بخشد بخشید
می‌گیرد گرفت می‌پرسد پرسید
می‌گیرد گرفت می‌پوشد پوشید
می‌گیرد گرفت می‌پیچد پیچید
می‌گیرد گرفت می‌زند زد
می‌گیرد گرفت می‌نشیند نشست
می‌گیرد گرفت می‌پرورد پرورید
می‌گیرد گرفت می‌نوشد نوشید
می‌گیرد گرفت می‌تواند توانست
می‌گیرد گرفت می‌پرد پرید
می‌گیرد گرفت می‌خزد خزید
می‌گیرد گرفت می‌بارد بارید
می‌گیرد گرفت می‌لرزد لرزید
می‌گیرد گرفت می‌وزد وزید
می‌گیرد گرفت می‌ریزد ریخت
می‌گیرد گرفت برمی‌دارد برداشت
: صفت برتر
﻿خوب خوب‌تر بد بدتر
﻿خوب خوب‌تر شاد شادتر
﻿خوب خوب‌تر زیبا زیباتر
﻿خوب خوب‌تر مهربان مهربان‌تر
﻿خوب خوب‌تر تمیز تمیزتر
﻿خوب خوب‌تر کثیف کثیف‌تر
﻿خوب خوب‌تر بلند بلندتر
﻿خوب خوب‌تر کوتاه کوتاه‌تر
﻿خوب خوب‌تر چاق چاق‌تر
﻿خوب خوب‌تر لاغر لاغرتر
﻿خوب خوب‌تر نازک نازکتر
﻿خوب خوب‌تر زخیم زخیم‌تر
﻿خوب خوب‌تر پهن پهن‌تر
﻿خوب خوب‌تر ترسناک ترسناک‌تر
﻿خوب خوب‌تر خوشحال خوشحال‌تر
﻿خوب خوب‌تر پلید پلیدتر
﻿خوب خوب‌تر احمق احمق‌تر
﻿خوب خوب‌تر باهوش باهوش‌تر
﻿خوب خوب‌تر ساده ساده‌تر
﻿خوب خوب‌تر زرنگ زرنگ‌تر
﻿خوب خوب‌تر زیرک زیرک‌تر
﻿خوب خوب‌تر خشن خشن‌تر
﻿خوب خوب‌تر بزرگ بزرگتر
﻿خوب خوب‌تر کوچک کوچکتر
﻿خوب خوب‌تر راحت راحت‌تر
﻿خوب خوب‌تر نرم نرم‌تر
﻿خوب خوب‌تر سخت سخت‌تر
﻿خوب خوب‌تر گرم گرم‌تر
﻿خوب خوب‌تر سرد سردتر
﻿خوب خوب‌تر دانا داناتر
﻿خوب خوب‌تر توانا تواناتر
﻿خوب خوب‌تر پسندیده پسندیده‌تر
﻿خوب خوب‌تر سودمند سودمندتر
﻿خوب خوب‌تر رها رهاتر
﻿خوب خوب‌تر زشت زشت‌تر
﻿خوب خوب‌تر داغ داغ‌تر
﻿خوب خوب‌تر پیچیده پیچیده‌تر
﻿خوب خوب‌تر محکم محکم‌تر
﻿خوب خوب‌تر قوی قوی‌تر
﻿خوب خوب‌تر روشن روشن‌تر
﻿خوب خوب‌تر تاریک تاریک‌تر
﻿خوب خوب‌تر دقیق دقیق‌تر
﻿خوب خوب‌تر ظریف ظریف‌تر
﻿خوب خوب‌تر طولانی طولانی‌تر
﻿خوب خوب‌تر پست پست‌تر
﻿خوب خوب‌تر مریض مریض‌تر
﻿خوب خوب‌تر سالم سالم‌تر
﻿خوب خوب‌تر غم‌انگیز غم‌انگیزتر
﻿خوب خوب‌تر شجاع شجاع‌تر
﻿خوب خوب‌تر دلیر دلیرتر
﻿خوب خوب‌تر آزاد آزادتر
﻿خوب خوب‌تر خسته خسته‌تر
بد بدتر ﻿خوب خوب‌تر
بد بدتر شاد شادتر
بد بدتر زیبا زیباتر
بد بدتر مهربان مهربان‌تر
بد بدتر تمیز تمیزتر
بد بدتر کثیف کثیف‌تر
بد بدتر بلند بلندتر
بد بدتر کوتاه کوتاه‌تر
بد بدتر چاق چاق‌تر
بد بدتر لاغر لاغرتر
بد بدتر نازک نازکتر
بد بدتر زخیم زخیم‌تر
بد بدتر پهن پهن‌تر
بد بدتر ترسناک ترسناک‌تر
بد بدتر خوشحال خوشحال‌تر
بد بدتر پلید پلیدتر
بد بدتر احمق احمق‌تر
بد بدتر باهوش باهوش‌تر
بد بدتر ساده ساده‌تر
بد بدتر زرنگ زرنگ‌تر
بد بدتر زیرک زیرک‌تر
بد بدتر خشن خشن‌تر
بد بدتر بزرگ بزرگتر
بد بدتر کوچک کوچکتر
بد بدتر راحت راحت‌تر
بد بدتر نرم نرم‌تر
بد بدتر سخت سخت‌تر
بد بدتر گرم گرم‌تر
بد بدتر سرد سردتر
بد بدتر دانا داناتر
بد بدتر توانا تواناتر
بد بدتر پسندیده پسندیده‌تر
بد بدتر سودمند سودمندتر
بد بدتر رها رهاتر
بد بدتر زشت زشت‌تر
بد بدتر داغ داغ‌تر
بد بدتر پیچیده پیچیده‌تر
بد بدتر محکم محکم‌تر
بد بدتر قوی قوی‌تر
بد بدتر روشن روشن‌تر
بد بدتر تاریک تاریک‌تر
بد بدتر دقیق دقیق‌تر
بد بدتر ظریف ظریف‌تر
بد بدتر طولانی طولانی‌تر
بد بدتر پست پست‌تر
بد بدتر مریض مریض‌تر
بد بدتر سالم سالم‌تر
بد بدتر غم‌انگیز غم‌انگیزتر
بد بدتر شجاع شجاع‌تر
بد بدتر دلیر دلیرتر
بد بدتر آزاد آزادتر
بد بدتر خسته خسته‌تر
شاد شادتر ﻿خوب خوب‌تر
شاد شادتر بد بدتر
شاد شادتر زیبا زیباتر
شاد شادتر مهربان مهربان‌تر
شاد شادتر تمیز تمیزتر
شاد شادتر کثیف کثیف‌تر
شاد شادتر بلند بلندتر
شاد شادتر کوتاه کوتاه‌تر
شاد شادتر چاق چاق‌تر
شاد شادتر لاغر لاغرتر
شاد شادتر نازک نازکتر
شاد شادتر زخیم زخیم‌تر
شاد شادتر پهن پهن‌تر
شاد شادتر ترسناک ترسناک‌تر
شاد شادتر خوشحال خوشحال‌تر
شاد شادتر پلید پلیدتر
شاد شادتر احمق احمق‌تر
شاد شادتر باهوش باهوش‌تر
شاد شادتر ساده ساده‌تر
شاد شادتر زرنگ زرنگ‌تر
شاد شادتر زیرک زیرک‌تر
شاد شادتر خشن خشن‌تر
شاد شادتر بزرگ بزرگتر
شاد شادتر کوچک کوچکتر
شاد شادتر راحت راحت‌تر
شاد شادتر نرم نرم‌تر
شاد شادتر سخت سخت‌تر
شاد شادتر گرم گرم‌تر
شاد شادتر سرد سردتر
شاد شادتر دانا داناتر
شاد شادتر توانا تواناتر
شاد شادتر پسندیده پسندیده‌تر
شاد شادتر سودمند سودمندتر
شاد شادتر رها رهاتر
شاد شادتر زشت زشت‌تر
شاد شادتر داغ داغ‌تر
شاد شادتر پیچیده پیچیده‌تر
شاد شادتر محکم محکم‌تر
شاد شادتر قوی قوی‌تر
شاد شادتر روشن روشن‌تر
شاد شادتر تاریک تاریک‌تر
شاد شادتر دقیق دقیق‌تر
شاد شادتر ظریف ظریف‌تر
شاد شادتر طولانی طولانی‌تر
شاد شادتر پست پست‌تر
شاد شادتر مریض مریض‌تر
شاد شادتر سالم سالم‌تر
شاد شادتر غم‌انگیز غم‌انگیزتر
شاد شادتر شجاع شجاع‌تر
شاد شادتر دلیر دلیرتر
شاد شادتر آزاد آزادتر
شاد شادتر خسته خسته‌تر
زیبا زیباتر ﻿خوب خوب‌تر
زیبا زیباتر بد بدتر
زیبا زیباتر شاد شادتر
زیبا زیباتر مهربان مهربان‌تر
زیبا زیباتر تمیز تمیزتر
زیبا زیباتر کثیف کثیف‌تر
زیبا زیباتر بلند بلندتر
زیبا زیباتر کوتاه کوتاه‌تر
زیبا زیباتر چاق چاق‌تر
زیبا زیباتر لاغر لاغرتر
زیبا زیباتر نازک نازکتر
زیبا زیباتر زخیم زخیم‌تر
زیبا زیباتر پهن پهن‌تر
زیبا زیباتر ترسناک ترسناک‌تر
زیبا زیباتر خوشحال خوشحال‌تر
زیبا زیباتر پلید پلیدتر
زیبا زیباتر احمق احمق‌تر
زیبا زیباتر باهوش باهوش‌تر
زیبا زیباتر ساده ساده‌تر
زیبا زیباتر زرنگ زرنگ‌تر
زیبا زیباتر زیرک زیرک‌تر
زیبا زیباتر خشن خشن‌تر
زیبا زیباتر بزرگ بزرگتر
زیبا زیباتر کوچک کوچکتر
زیبا زیباتر راحت راحت‌تر
زیبا زیباتر نرم نرم‌تر
زیبا زیباتر سخت سخت‌تر
زیبا زیباتر گرم گرم‌تر
زیبا زیباتر سرد سردتر
زیبا زیباتر دانا داناتر
زیبا زیباتر توانا تواناتر
زیبا زیباتر پسندیده پسندیده‌تر
زیبا زیباتر سودمند سودمندتر
زیبا زیباتر رها رهاتر
زیبا زیباتر زشت زشت‌تر
زیبا زیباتر داغ داغ‌تر
زیبا زیباتر پیچیده پیچیده‌تر
زیبا زیباتر محکم محکم‌تر
زیبا زیباتر قوی قوی‌تر
زیبا زیباتر روشن روشن‌تر
زیبا زیباتر تاریک تاریک‌تر
زیبا زیباتر دقیق دقیق‌تر
زیبا زیباتر ظریف ظریف‌تر
زیبا زیباتر طولانی طولانی‌تر
زیبا زیباتر پست پست‌تر
زیبا زیباتر مریض مریض‌تر
زیبا زیباتر سالم سالم‌تر
زیبا زیباتر غم‌انگیز غم‌انگیزتر
زیبا زیباتر شجاع شجاع‌تر
زیبا زیباتر دلیر دلیرتر
زیبا زیباتر آزاد آزادتر
زیبا زیباتر خسته خسته‌تر
مهربان مهربان‌تر ﻿خوب خوب‌تر
مهربان مهربان‌تر بد بدتر
مهربان مهربان‌تر شاد شادتر
مهربان مهربان‌تر زیبا زیباتر
مهربان مهربان‌تر تمیز تمیزتر
مهربان مهربان‌تر کثیف کثیف‌تر
مهربان مهربان‌تر بلند بلندتر
مهربان مهربان‌تر کوتاه کوتاه‌تر
مهربان مهربان‌تر چاق چاق‌تر
مهربان مهربان‌تر لاغر لاغرتر
مهربان مهربان‌تر نازک نازکتر
مهربان مهربان‌تر زخیم زخیم‌تر
مهربان مهربان‌تر پهن پهن‌تر
مهربان مهربان‌تر ترسناک ترسناک‌تر
مهربان مهربان‌تر خوشحال خوشحال‌تر
مهربان مهربان‌تر پلید پلیدتر
مهربان مهربان‌تر احمق احمق‌تر
مهربان مهربان‌تر باهوش باهوش‌تر
مهربان مهربان‌تر ساده ساده‌تر
مهربان مهربان‌تر زرنگ زرنگ‌تر
مهربان مهربان‌تر زیرک زیرک‌تر
مهربان مهربان‌تر خشن خشن‌تر
مهربان مهربان‌تر بزرگ بزرگتر
مهربان مهربان‌تر کوچک کوچکتر
مهربان مهربان‌تر راحت راحت‌تر
مهربان مهربان‌تر نرم نرم‌تر
مهربان مهربان‌تر سخت سخت‌تر
مهربان مهربان‌تر گرم گرم‌تر
مهربان مهربان‌تر سرد سردتر
مهربان مهربان‌تر دانا داناتر
مهربان مهربان‌تر توانا تواناتر
مهربان مهربان‌تر پسندیده پسندیده‌تر
مهربان مهربان‌تر سودمند سودمندتر
مهربان مهربان‌تر رها رهاتر
مهربان مهربان‌تر زشت زشت‌تر
مهربان مهربان‌تر داغ داغ‌تر
مهربان مهربان‌تر پیچیده پیچیده‌تر
مهربان مهربان‌تر محکم محکم‌تر
مهربان مهربان‌تر قوی قوی‌تر
مهربان مهربان‌تر روشن روشن‌تر
مهربان مهربان‌تر تاریک تاریک‌تر
مهربان مهربان‌تر دقیق دقیق‌تر
مهربان مهربان‌تر ظریف ظریف‌تر
مهربان مهربان‌تر طولانی طولانی‌تر
مهربان مهربان‌تر پست پست‌تر
مهربان مهربان‌تر مریض مریض‌تر
مهربان مهربان‌تر سالم سالم‌تر
مهربان مهربان‌تر غم‌انگیز غم‌انگیزتر
مهربان مهربان‌تر شجاع شجاع‌تر
مهربان مهربان‌تر دلیر دلیرتر
مهربان مهربان‌تر آزاد آزادتر
مهربان مهربان‌تر خسته خسته‌تر
تمیز تمیزتر ﻿خوب خوب‌تر
تمیز تمیزتر بد بدتر
تمیز تمیزتر شاد شادتر
تمیز تمیزتر زیبا زیباتر
تمیز تمیزتر مهربان مهربان‌تر
تمیز تمیزتر کثیف کثیف‌تر
تمیز تمیزتر بلند بلندتر
تمیز تمیزتر کوتاه کوتاه‌تر
تمیز تمیزتر چاق چاق‌تر
تمیز تمیزتر لاغر لاغرتر
تمیز تمیزتر نازک نازکتر
تمیز تمیزتر زخیم زخیم‌تر
تمیز تمیزتر پهن پهن‌تر
تمیز تمیزتر ترسناک ترسناک‌تر
تمیز تمیزتر خوشحال خوشحال‌تر
تمیز تمیزتر پلید پلیدتر
تمیز تمیزتر احمق احمق‌تر
تمیز تمیزتر باهوش باهوش‌تر
تمیز تمیزتر ساده ساده‌تر
تمیز تمیزتر زرنگ زرنگ‌تر
تمیز تمیزتر زیرک زیرک‌تر
تمیز تمیزتر خشن خشن‌تر
تمیز تمیزتر بزرگ بزرگتر
تمیز تمیزتر کوچک کوچکتر
تمیز تمیزتر راحت راحت‌تر
تمیز تمیزتر نرم نرم‌تر
تمیز تمیزتر سخت سخت‌تر
تمیز تمیزتر گرم گرم‌تر
تمیز تمیزتر سرد سردتر
تمیز تمیزتر دانا داناتر
تمیز تمیزتر توانا تواناتر
تمیز تمیزتر پسندیده پسندیده‌تر
تمیز تمیزتر سودمند سودمندتر
تمیز تمیزتر رها رهاتر
تمیز تمیزتر زشت زشت‌تر
تمیز تمیزتر داغ داغ‌تر
تمیز تمیزتر پیچیده پیچیده‌تر
تمیز تمیزتر محکم محکم‌تر
تمیز تمیزتر قوی قوی‌تر
تمیز تمیزتر روشن روشن‌تر
تمیز تمیزتر تاریک تاریک‌تر
تمیز تمیزتر دقیق دقیق‌تر
تمیز تمیزتر ظریف ظریف‌تر
تمیز تمیزتر طولانی طولانی‌تر
تمیز تمیزتر پست پست‌تر
تمیز تمیزتر مریض مریض‌تر
تمیز تمیزتر سالم سالم‌تر
تمیز تمیزتر غم‌انگیز غم‌انگیزتر
تمیز تمیزتر شجاع شجاع‌تر
تمیز تمیزتر دلیر دلیرتر
تمیز تمیزتر آزاد آزادتر
تمیز تمیزتر خسته خسته‌تر
کثیف کثیف‌تر ﻿خوب خوب‌تر
کثیف کثیف‌تر بد بدتر
کثیف کثیف‌تر شاد شادتر
کثیف کثیف‌تر زیبا زیباتر
کثیف کثیف‌تر مهربان مهربان‌تر
کثیف کثیف‌تر تمیز تمیزتر
کثیف کثیف‌تر بلند بلندتر
کثیف کثیف‌تر کوتاه کوتاه‌تر
کثیف کثیف‌تر چاق چاق‌تر
کثیف کثیف‌تر لاغر لاغرتر
کثیف کثیف‌تر نازک نازکتر
کثیف کثیف‌تر زخیم زخیم‌تر
کثیف کثیف‌تر پهن پهن‌تر
کثیف کثیف‌تر ترسناک ترسناک‌تر
کثیف کثیف‌تر خوشحال خوشحال‌تر
کثیف کثیف‌تر پلید پلیدتر
کثیف کثیف‌تر احمق احمق‌تر
کثیف کثیف‌تر باهوش باهوش‌تر
کثیف کثیف‌تر ساده ساده‌تر
کثیف کثیف‌تر زرنگ زرنگ‌تر
کثیف کثیف‌تر زیرک زیرک‌تر
کثیف کثیف‌تر خشن خشن‌تر
کثیف کثیف‌تر بزرگ بزرگتر
کثیف کثیف‌تر کوچک کوچکتر
کثیف کثیف‌تر راحت راحت‌تر
کثیف کثیف‌تر نرم نرم‌تر
کثیف کثیف‌تر سخت سخت‌تر
کثیف کثیف‌تر گرم گرم‌تر
کثیف کثیف‌تر سرد سردتر
کثیف کثیف‌تر دانا داناتر
کثیف کثیف‌تر توانا تواناتر
کثیف کثیف‌تر پسندیده پسندیده‌تر
کثیف کثیف‌تر سودمند سودمندتر
کثیف کثیف‌تر رها رهاتر
کثیف کثیف‌تر زشت زشت‌تر
کثیف کثیف‌تر داغ داغ‌تر
کثیف کثیف‌تر پیچیده پیچیده‌تر
کثیف کثیف‌تر محکم محکم‌تر
کثیف کثیف‌تر قوی قوی‌تر
کثیف کثیف‌تر روشن روشن‌تر
کثیف کثیف‌تر تاریک تاریک‌تر
کثیف کثیف‌تر دقیق دقیق‌تر
کثیف کثیف‌تر ظریف ظریف‌تر
کثیف کثیف‌تر طولانی طولانی‌تر
کثیف کثیف‌تر پست پست‌تر
کثیف کثیف‌تر مریض مریض‌تر
کثیف کثیف‌تر سالم سالم‌تر
کثیف کثیف‌تر غم‌انگیز غم‌انگیزتر
کثیف کثیف‌تر شجاع شجاع‌تر
کثیف کثیف‌تر دلیر دلیرتر
کثیف کثیف‌تر آزاد آزادتر
کثیف کثیف‌تر خسته خسته‌تر
بلند بلندتر ﻿خوب خوب‌تر
بلند بلندتر بد بدتر
بلند بلندتر شاد شادتر
بلند بلندتر زیبا زیباتر
بلند بلندتر مهربان مهربان‌تر
بلند بلندتر تمیز تمیزتر
بلند بلندتر کثیف کثیف‌تر
بلند بلندتر کوتاه کوتاه‌تر
بلند بلندتر چاق چاق‌تر
بلند بلندتر لاغر لاغرتر
بلند بلندتر نازک نازکتر
بلند بلندتر زخیم زخیم‌تر
بلند بلندتر پهن پهن‌تر
بلند بلندتر ترسناک ترسناک‌تر
بلند بلندتر خوشحال خوشحال‌تر
بلند بلندتر پلید پلیدتر
بلند بلندتر احمق احمق‌تر
بلند بلندتر باهوش باهوش‌تر
بلند بلندتر ساده ساده‌تر
بلند بلندتر زرنگ زرنگ‌تر
بلند بلندتر زیرک زیرک‌تر
بلند بلندتر خشن خشن‌تر
بلند بلندتر بزرگ بزرگتر
بلند بلندتر کوچک کوچکتر
بلند بلندتر راحت راحت‌تر
بلند بلندتر نرم نرم‌تر
بلند بلندتر سخت سخت‌تر
بلند بلندتر گرم گرم‌تر
بلند بلندتر سرد سردتر
بلند بلندتر دانا داناتر
بلند بلندتر توانا تواناتر
بلند بلندتر پسندیده پسندیده‌تر
بلند بلندتر سودمند سودمندتر
بلند بلندتر رها رهاتر
بلند بلندتر زشت زشت‌تر
بلند بلندتر داغ داغ‌تر
بلند بلندتر پیچیده پیچیده‌تر
بلند بلندتر محکم محکم‌تر
بلند بلندتر قوی قوی‌تر
بلند بلندتر روشن روشن‌تر
بلند بلندتر تاریک تاریک‌تر
بلند بلندتر دقیق دقیق‌تر
بلند بلندتر ظریف ظریف‌تر
بلند بلندتر طولانی طولانی‌تر
بلند بلندتر پست پست‌تر
بلند بلندتر مریض مریض‌تر
بلند بلندتر سالم سالم‌تر
بلند بلندتر غم‌انگیز غم‌انگیزتر
بلند بلندتر شجاع شجاع‌تر
بلند بلندتر دلیر دلیرتر
بلند بلندتر آزاد آزادتر
بلند بلندتر خسته خسته‌تر
کوتاه کوتاه‌تر ﻿خوب خوب‌تر
کوتاه کوتاه‌تر بد بدتر
کوتاه کوتاه‌تر شاد شادتر
کوتاه کوتاه‌تر زیبا زیباتر
کوتاه کوتاه‌تر مهربان مهربان‌تر
کوتاه کوتاه‌تر تمیز تمیزتر
کوتاه کوتاه‌تر کثیف کثیف‌تر
کوتاه کوتاه‌تر بلند بلندتر
کوتاه کوتاه‌تر چاق چاق‌تر
کوتاه کوتاه‌تر لاغر لاغرتر
کوتاه کوتاه‌تر نازک نازکتر
کوتاه کوتاه‌تر زخیم زخیم‌تر
کوتاه کوتاه‌تر پهن پهن‌تر
کوتاه کوتاه‌تر ترسناک ترسناک‌تر
کوتاه کوتاه‌تر خوشحال خوشحال‌تر
کوتاه کوتاه‌تر پلید پلیدتر
کوتاه کوتاه‌تر احمق احمق‌تر
کوتاه کوتاه‌تر باهوش باهوش‌تر
کوتاه کوتاه‌تر ساده ساده‌تر
کوتاه کوتاه‌تر زرنگ زرنگ‌تر
کوتاه کوتاه‌تر زیرک زیرک‌تر
کوتاه کوتاه‌تر خشن خشن‌تر
کوتاه کوتاه‌تر بزرگ بزرگتر
کوتاه کوتاه‌تر کوچک کوچکتر
کوتاه کوتاه‌تر راحت راحت‌تر
کوتاه کوتاه‌تر نرم نرم‌تر
کوتاه کوتاه‌تر سخت سخت‌تر
کوتاه کوتاه‌تر گرم گرم‌تر
کوتاه کوتاه‌تر سرد سردتر
کوتاه کوتاه‌تر دانا داناتر
کوتاه کوتاه‌تر توانا تواناتر
کوتاه کوتاه‌تر پسندیده پسندیده‌تر
کوتاه کوتاه‌تر سودمند سودمندتر
کوتاه کوتاه‌تر رها رهاتر
کوتاه کوتاه‌تر زشت زشت‌تر
کوتاه کوتاه‌تر داغ داغ‌تر
کوتاه کوتاه‌تر پیچیده پیچیده‌تر
کوتاه کوتاه‌تر محکم محکم‌تر
کوتاه کوتاه‌تر قوی قوی‌تر
کوتاه کوتاه‌تر روشن روشن‌تر
کوتاه کوتاه‌تر تاریک تاریک‌تر
کوتاه کوتاه‌تر دقیق دقیق‌تر
کوتاه کوتاه‌تر ظریف ظریف‌تر
کوتاه کوتاه‌تر طولانی طولانی‌تر
کوتاه کوتاه‌تر پست پست‌تر
کوتاه کوتاه‌تر مریض مریض‌تر
کوتاه کوتاه‌تر سالم سالم‌تر
کوتاه کوتاه‌تر غم‌انگیز غم‌انگیزتر
کوتاه کوتاه‌تر شجاع شجاع‌تر
کوتاه کوتاه‌تر دلیر دلیرتر
کوتاه کوتاه‌تر آزاد آزادتر
کوتاه کوتاه‌تر خسته خسته‌تر
چاق چاق‌تر ﻿خوب خوب‌تر
چاق چاق‌تر بد بدتر
چاق چاق‌تر شاد شادتر
چاق چاق‌تر زیبا زیباتر
چاق چاق‌تر مهربان مهربان‌تر
چاق چاق‌تر تمیز تمیزتر
چاق چاق‌تر کثیف کثیف‌تر
چاق چاق‌تر بلند بلندتر
چاق چاق‌تر کوتاه کوتاه‌تر
چاق چاق‌تر لاغر لاغرتر
چاق چاق‌تر نازک نازکتر
چاق چاق‌تر زخیم زخیم‌تر
چاق چاق‌تر پهن پهن‌تر
چاق چاق‌تر ترسناک ترسناک‌تر
چاق چاق‌تر خوشحال خوشحال‌تر
چاق چاق‌تر پلید پلیدتر
چاق چاق‌تر احمق احمق‌تر
چاق چاق‌تر باهوش باهوش‌تر
چاق چاق‌تر ساده ساده‌تر
چاق چاق‌تر زرنگ زرنگ‌تر
چاق چاق‌تر زیرک زیرک‌تر
چاق چاق‌تر خشن خشن‌تر
چاق چاق‌تر بزرگ بزرگتر
چاق چاق‌تر کوچک کوچکتر
چاق چاق‌تر راحت راحت‌تر
چاق چاق‌تر نرم نرم‌تر
چاق چاق‌تر سخت سخت‌تر
چاق چاق‌تر گرم گرم‌تر
چاق چاق‌تر سرد سردتر
چاق چاق‌تر دانا داناتر
چاق چاق‌تر توانا تواناتر
چاق چاق‌تر پسندیده پسندیده‌تر
چاق چاق‌تر سودمند سودمندتر
چاق چاق‌تر رها رهاتر
چاق چاق‌تر زشت زشت‌تر
چاق چاق‌تر داغ داغ‌تر
چاق چاق‌تر پیچیده پیچیده‌تر
چاق چاق‌تر محکم محکم‌تر
چاق چاق‌تر قوی قوی‌تر
چاق چاق‌تر روشن روشن‌تر
چاق چاق‌تر تاریک تاریک‌تر
چاق چاق‌تر دقیق دقیق‌تر
چاق چاق‌تر ظریف ظریف‌تر
چاق چاق‌تر طولانی طولانی‌تر
چاق چاق‌تر پست پست‌تر
چاق چاق‌تر مریض مریض‌تر
چاق چاق‌تر سالم سالم‌تر
چاق چاق‌تر غم‌انگیز غم‌انگیزتر
چاق چاق‌تر شجاع شجاع‌تر
چاق چاق‌تر دلیر دلیرتر
چاق چاق‌تر آزاد آزادتر
چاق چاق‌تر خسته خسته‌تر
لاغر لاغرتر ﻿خوب خوب‌تر
لاغر لاغرتر بد بدتر
لاغر لاغرتر شاد شادتر
لاغر لاغرتر زیبا زیباتر
لاغر لاغرتر مهربان مهربان‌تر
لاغر لاغرتر تمیز تمیزتر
لاغر لاغرتر کثیف کثیف‌تر
لاغر لاغرتر بلند بلندتر
لاغر لاغرتر کوتاه کوتاه‌تر
لاغر لاغرتر چاق چاق‌تر
لاغر لاغرتر نازک نازکتر
لاغر لاغرتر زخیم زخیم‌تر
لاغر لاغرتر پهن پهن‌تر
لاغر لاغرتر ترسناک ترسناک‌تر
لاغر لاغرتر خوشحال خوشحال‌تر
لاغر لاغرتر پلید پلیدتر
لاغر لاغرتر احمق احمق‌تر
لاغر لاغرتر باهوش باهوش‌تر
لاغر لاغرتر ساده ساده‌تر
لاغر لاغرتر زرنگ زرنگ‌تر
لاغر لاغرتر زیرک زیرک‌تر
لاغر لاغرتر خشن خشن‌تر
لاغر لاغرتر بزرگ بزرگتر
لاغر لاغرتر کوچک کوچکتر
لاغر لاغرتر راحت راحت‌تر
لاغر لاغرتر نرم نرم‌تر
لاغر لاغرتر سخت سخت‌تر
لاغر لاغرتر گرم گرم‌تر
لاغر لاغرتر سرد سردتر
لاغر لاغرتر دانا داناتر
لاغر لاغرتر توانا تواناتر
لاغر لاغرتر پسندیده پسندیده‌تر
لاغر لاغرتر سودمند سودمندتر
لاغر لاغرتر رها رهاتر
لاغر لاغرتر زشت زشت‌تر
لاغر لاغرتر داغ داغ‌تر
لاغر لاغرتر پیچیده پیچیده‌تر
لاغر لاغرتر محکم محکم‌تر
لاغر لاغرتر قوی قوی‌تر
لاغر لاغرتر روشن روشن‌تر
لاغر لاغرتر تاریک تاریک‌تر
لاغر لاغرتر دقیق دقیق‌تر
لاغر لاغرتر ظریف ظریف‌تر
لاغر لاغرتر طولانی طولانی‌تر
لاغر لاغرتر پست پست‌تر
لاغر لاغرتر مریض مریض‌تر
لاغر لاغرتر سالم سالم‌تر
لاغر لاغرتر غم‌انگیز غم‌انگیزتر
لاغر لاغرتر شجاع شجاع‌تر
لاغر لاغرتر دلیر دلیرتر
لاغر لاغرتر آزاد آزادتر
لاغر لاغرتر خسته خسته‌تر
نازک نازکتر ﻿خوب خوب‌تر
نازک نازکتر بد بدتر
نازک نازکتر شاد شادتر
نازک نازکتر زیبا زیباتر
نازک نازکتر مهربان مهربان‌تر
نازک نازکتر تمیز تمیزتر
نازک نازکتر کثیف کثیف‌تر
نازک نازکتر بلند بلندتر
نازک نازکتر کوتاه کوتاه‌تر
نازک نازکتر چاق چاق‌تر
نازک نازکتر لاغر لاغرتر
نازک نازکتر زخیم زخیم‌تر
نازک نازکتر پهن پهن‌تر
نازک نازکتر ترسناک ترسناک‌تر
نازک نازکتر خوشحال خوشحال‌تر
